name,taxon_id,family,count
Holoscotolemon querilhaci,526493,172615,45
Calyptomerus dubius,655057,174593,1
Clastoptera proteus,132515,132516,896
Clausidium vancouverense,117680,117687,5
Pseudocalanus elongatus,329013,201747,1
Cleidogona alata,570954,127645,1
Cleonymus laticornis,1076513,1426984,2
Trichodes apiarius,55048,55051,4723
Sylon hippolytes,1243675,996529,4
Elaver excepta,218963,121773,176
Clusia tigrina,605917,157184,37
Cryptes baccatus,702945,49456,355
Harmonia axyridis,48484,48486,187185
Coelopa frigida,194032,194033,103
Coelostomidia zealandica,387771,468943,100
Ischnura verticalis,84722,47925,26274
Coenobita clypeatus,133675,51731,3539
Coleophora mayrella,321675,85704,227
Colletes inaequalis,199041,127740,2492
Collophora quadrioculata,261862,245386,1
Phaenacantha australiae,475448,125910,16
Coloburiscus humeralis,408499,372989,219
Colossendeis proboscidea,813102,51486,2
Heteroconis ornata,390421,245154,60
Olinga feredayi,393812,372991,15
Physocephala tibialis,133978,61893,2958
Conotyla blakei,217525,171229,1
Phycomorpha prasinochroa,790378,204848,116
Coptopteryx gayi,539098,709389,430
Tachaea caridophaga,1201258,245506,2
Cordulegaster boltonii,85057,57448,2561
Epitheca princeps,100215,61430,4681
Leptoglossus occidentalis,67771,51777,27951
Corethrella infuscata,1290788,245528,1
Nyssus coloripes,466015,47418,1736
Corisella edulis,217597,84735,43
Coronula diadema,53636,53634,106
Corophium volutator,64638,64636,13
Ditrichocorycaeus anglicus,1196579,201732,2
Corydalus cornutus,126712,47863,5606
Arenivaga bolliana,460290,180744,252
Sericoderus lateralis,203329,174370,14
Corystes cassivelaunus,549751,507530,466
Libitioides sayi,1494046,204982,1079
Limnaecia phragmitella,223680,82340,1447
Cossus cossus,362611,122745,4926
Sphecius speciosus,51954,51955,10685
Udea rubigalis,143615,52002,13537
Ventrivomer ancyrophorus,1074648,450503,120
Crangon septemspinosa,83099,47290,441
Stygobromus chamberlaini,1297373,85711,14
Nanogona polydesmoides,336978,50426,122
Craterostigmus tasmanianus,536955,372993,9
Cryptocercus punctulatus,468017,337962,55
Cryptochetum iceryae,311573,311574,20
Utinomiella dimorpha,505470,195348,18
Niponia nodulosa,563739,245111,34
Camarana flavipalpi,1365171,535011,5
Cryptomaster leviathan,526488,1042834,5
Liriopsis pygmaea,1187709,771792,5
Antherophagus ochraceus,173084,174139,25
Cryptops hortensis,336908,154635,34
Cryptorhamphus orbus,601782,601783,15
Phoneutria depilata,1247897,53389,634
Cteniza sauvagesi,416698,57327,11
Lochmostylia borgmeieri,531652,531650,2
Cucujus clavipes,122215,85716,1087
Aedes albopictus,62984,52134,5102
Tenomerga cinerea,367126,174138,440
Curalium cronini,518709,506109,1
Polydrusus formosus,494559,48736,6541
Curtonotum helvum,217937,174137,11
Cyamus scammoni,260717,245493,35
Matilda australia,824196,372997,1
Dirksia cinctipes,218579,52950,37
Cybocephalus californicus,245898,373331,4
Cyclestheria hislopi,217961,171301,3
Orepukia poppelwelli,407703,372999,6
Diacyclops bicuspidatus,218302,85718,9
Cyclotorna egena,1195918,874758,2
Sehirus cinctus,360116,57843,3540
Cylindroryctes spegazzinii,603288,153282,6
Vermicaris pontica,975977,195065,1
Liogma nodicornis,1045423,60419,12
Cynotelopus notabilis,895788,999544,13
Cylisticus convexus,130170,130171,732
Cyllopus magellanicus,660762,983226,1
Cymus melanocephalus,556558,373002,125
Anilocra capensis,649769,49937,31
Andricus quercuscalifornicus,55887,55594,5045
Cyphocaris challengeri,660847,245496,6
Cyphoderus similis,296579,245389,13
Heterocypris incongruens,210271,85722,7
Vargula hilgendorfii,984886,85723,1
Cyproidea ornata,660936,473494,36
Pseudopomyza flavitarsis,427821,558005,7
Ancylotrypa elongata,810603,47421,1
Cyrtocoris egeris,569368,1279256,8
Cystisoma magna,1428308,245476,1
Spinileberis hyalina,348134,348281,5
Cyzicus californicus,68304,68306,50
Dactylopius opuntiae,335785,202092,191
Zouza radiosa,696389,1097043,4
Gluvia dorsalis,466946,466947,340
Daira perlata,524846,195220,13
Acraga coa,128162,128163,40
Monenchodesmus inermis,1196331,373003,3
Damaeus onustus,554920,172485,6
Pseudoleosthenes irregularis,569746,569741,1
Scapholeberis mucronata,203493,85726,23
Dascillus cervinus,343019,128710,429
Teliapsocus conterminus,367248,245135,279
Madagapotamon humberti,105086,1412681,20
Asianopis subrufa,1429923,50003,897
Pseudarmadillo vansicklei,1095016,813913,2
Liburniella ornata,326721,123608,736
Demodex folliculorum,262789,373004,11
Machimia tentoriferella,81689,423543,2583
Omolicna uhleri,340041,132158,402
Dericorys lobata,563443,510363,87
Dermanyssus gallinae,263331,245182,2
Anthrenus verbasci,120113,81951,6550
Derocheilocaris typica,1194773,996705,1
Derodontus esotericus,218274,174055,15
Popa spurca,539089,1097042,294
Badumna longinqua,47135,47134,2128
Armadilloniscus ellipticus,469851,339098,56
Devadatta argyoides,149357,560979,130
Polycheria osborni,260646,179787,6
Diadocidia ferruginosa,990629,354856,1
Diapheromera femorata,84286,47320,4903
Diaprepocoris zealandiae,388565,488967,1
Neurogalesus carinatus,429847,203213,23
Aglaodiaptomus leptopus,212725,85732,1
Unaspis euonymi,512010,48093,517
Diastata fuscula,542821,541547,1
Diastylis glabra,1402583,186427,1
Anthosoma crassum,489174,480559,1
Dicranolasma soerensenii,526526,525956,14
Heliocharis amazona,197199,85735,15
Nigma walckenaeri,84521,84523,1574
Dictyophara europaea,550657,53509,445
Dicyrtomina ornata,205720,55168,758
Diguetia catamarquensis,817106,245371,18
Nallachius americanus,225441,176873,196
Coridius ianus,765716,336018,212
Clibanarius vittatus,52408,52409,1838
Chaetodiopsis meigenii,1477349,83944,103
Dipara trilineatus,1029666,1426986,10
Diphyllostoma fimbriatum,931114,572351,1
Diplatys annandalei,1191034,415571,1
Diplocentrus lindo,263565,117248,66
Cryptometasternum queenslandense,1455029,245179,3
Diplolepis rosae,205320,1501094,8476
Altajosoma bakurovi,1435751,563736,1
Linothele sericata,817872,83114,55
Diprion similis,62626,49453,1722
Hyalopsyche disjuncta,1412111,178483,1
Cryptostemma alienum,887463,343550,1
Rhyncaphytoptus ipomoeae,1309173,373009,1
Aphanocephalus bimaculatus,1477952,330893,1
Berzercon ferdinandi,411021,373327,15
Elytrimitatrix undata,323575,779227,456
Ditomyia fasciata,624685,245527,7
Nothodixa philpotti,393462,245356,6
Allorchestes angusta,345211,245474,1
Doa dora,865980,173992,37
Condylostylus patibulatus,126214,68020,3558
Domecia acanthophora,295503,195165,6
Dorippe frascone,474842,368091,28
Cyphocallipus excavatus,1151790,982609,18
Tmethypocoelis ceratophora,372332,129462,108
Tinagma perdicella,805234,178892,41
Drepana arcuata,84428,84430,5384
Dromia personata,359111,51168,244
Drosophila suzukii,311582,67742,803
Dryadaula terpsichorella,409435,531706,159
Dryinus koebelei,311610,203211,18
Izithunzi capense,781253,208569,25
Dryomyza anilis,447009,345446,211
Pelonomus obscurus,543480,178026,150
Dubioniscus marmoratus,1338092,715356,8
Cossula magnifica,217657,199255,276
Dulichia rhabdoplastis,1263185,983242,6
Hirsutodynomene spinosa,1071480,195218,4
Dysdera crocata,68912,69200,6511
Cybister fimbriolatus,124844,57659,944
Echinophthirius horridus,1105895,330603,1
Ecnomus tenellus,546185,83730,115
Microsetella norvegica,203391,195073,7
Ectobius lapponicus,203409,461451,1995
Ectopsocus petersi,321933,245131,265
Chrysoclista linneella,364095,81988,160
Alaus oculatus,81706,53248,8388
Elenchus tenuicornis,663806,372987,2
Propsocus pulchripennis,141763,141764,34
Stenelmis cheryl,231521,85753,20
Austrominius modestus,410684,1277295,584
Embia ramburi,712309,245142,7
Ampulicomorpha confusa,1119417,244995,1
Empis tessellata,461172,49460,701
Empusa pennata,55122,51924,2546
Ooencyrtus kuvanae,552034,69778,229
Endomychus coccineus,504738,173237,1095
Endromis versicolora,128214,124755,469
Systelloderes moschatus,1112996,173358,3
Hoplometopus antillensis,1439271,85758,52
Orchesella cincta,132308,132310,2897
Ekapa curvipes,1505711,1151067,2
Eocyzicus digueti,219224,1438275,1
Notiothauma reedi,1060850,981153,6
Eosentomon dureyi,802655,245392,1
Gonatista grisea,122637,569977,732
Plistobunus rapax,526331,526080,3
Phaulernis dentella,524652,173638,48
Serratella ignita,416524,48010,46
Hexagenia limbata,51116,48008,1031
Hydrellia tritici,408706,84670,606
Pugettia producta,49723,49724,5265
Josephiella microcarpae,506289,1426987,50
Psychostrophia melanargia,320545,320546,66
Knemidokoptes jamaicensis,297411,329216,3
Epilobocera sinuatifrons,100059,1241440,60
Idioglossa miraculosa,475510,874779,25
Epimeria loricata,850650,519101,2
Epiophlebia superstes,358475,85762,6
Bertkauia lucifuga,1071237,245143,106
Fulgoraecia exigua,220221,176439,604
Teicophrys fusiformis,293471,705810,23
Pyrrharctia isabella,59675,121850,38107
Iris oratoria,67437,349368,2895
Eremobates docolora,928094,53510,7
Eresus kollari,202770,62051,522
Riccardoella oudemansi,297378,245271,28
Thersitina gasterostei,475653,339090,1
Cryptococcus fagisuga,54061,48026,622
Deuterotinea casanella,803470,177611,133
Dyseriocrania griseocapitella,319051,173582,234
Eriophyes tiliae,319872,55584,4577
Eriphia verrucosa,128834,195210,1531
Cypherotylus californicus,1095700,82103,2085
Erythracarus pyrrholeucus,868744,625770,30
Balaustium leanderi,555954,121478,86
Ethusa mascarone,785146,195340,4
Euagrus chisoseus,264171,1108901,104
Eubelum asperius,1038588,475299,18
Eucalanus hyalinus,1351035,201748,1
Eucalliaxiopsis aequimana,1257451,879062,1
Paraeuchaeta elongata,1351813,201711,4
Ancylotropus cariniscutis,765399,245001,25
Eucinetus haemorrhoidalis,219638,173492,21
Deltometopus amoenicornis,173981,47886,34
Eucteniza relata,264036,416726,161
Eulichas funebris,209764,209776,4
Eulimnogammarus verrucosus,832171,179346,2
Ophelimus maskelli,408051,85012,371
Morsea californica,155256,85772,118
Eumunida picta,459577,1028876,1
Scutellista caeruleus,244823,1426988,6
Brasema rhadinosa,265111,176401,11
Euphaea formosa,100734,85773,1874
Meganyctiphanes norvegica,639178,195134,39
Phyllalia patens,683595,145552,231
Platybrachys decemmacula,202135,202136,94
Eurycercus longirostris,627873,533837,18
Eurymerodesmus mundus,527538,424358,12
Eurypauropus spinosus,1390727,373019,2
Trissoplax dentata,1262747,245486,12
Ankersquilla pardus,1158100,245502,1
Euryte longicauda,1411406,1067013,1
Eurythenes gryllus,466011,245494,5
Bruchophagus fellis,544875,69751,35
Euschmidtia cruciformis,149417,149027,10
Euscorpius flavicaudis,118942,56545,380
Rhachotropis aculeata,854908,171687,11
Stenoperla prasina,397466,85775,31
Marathyssa inficita,143019,122126,1329
Eutrichosoma mirabile,264318,1349203,2
Hypodacnella rubripes,390875,471715,26
Euzercon latus,297698,245178,7
Evalljapyx hubbardi,481350,245394,1
Evania appendigaster,264674,199595,3727
Iphidosoma fimetarium,1045716,245177,1
