name,taxon_id,family,count
,,47961,0
Acmaeops marginatus,1505261,47961,5
Acmaeops pratensis,212359,47961,215
Acmaeops septentrionis,508659,47961,7
,,47961,0
Acmaeops smaragdulus,1505262,47961,6
Acnemia amoena,841252,83736,1
,,83736,0
,,55699,0
,,47199,0
Acompocoris alpinus,887513,174592,2
Acompocoris pygmaeus,554430,174592,2
,,55519,0
Acompsia cinerella,481958,55519,228
,,55519,0
,,55519,0
,,55519,0
,,55519,0
,,55519,0
Acompsia schmidtiellus,481962,55519,11
Acompsia tripunctella,732807,55519,18
,,141732,0
Acompus pallipes,1089367,141732,8
Acompus rufipes,565110,141732,33
Acontia lucida,415493,48670,2284
Aconurella prolixa,646886,53237,23
,,373019,0
,,373019,0
,,373019,0
Acopauropus ornatus,1195707,373019,1
Acosmetia caliginosa,483522,48670,9
Acossus terebra,605262,122745,65
,,53275,0
Acrida ungarica,211055,47649,2009
,,68869,0
,,68869,0
Acritus minutus,538994,68869,1
,,68869,0
Acrobasis advenella,324912,49683,816
Acrobasis bithynella,468477,49683,115
Acrobasis centunculella,835870,49683,2
Acrobasis consociella,362109,49683,115
Acrobasis dulcella,875973,49683,2
Acrobasis fallouella,853025,49683,17
Acrobasis getuliella,496924,49683,9
Acrobasis glaucella,828863,49683,6
Acrobasis legatea,554139,49683,34
Acrobasis marmorea,470978,49683,101
Acrobasis obliqua,325265,49683,293
Acrobasis obtusella,875974,49683,7
Acrobasis porphyrella,327152,49683,80
Acrobasis repandana,524813,49683,223
Acrobasis romanella,549656,49683,202
Acrobasis sodalella,548814,49683,49
Acrobasis suavella,470584,49683,177
Acrobasis tumidana,548815,49683,375
Acrocera orbiculus,779440,176389,16
Acrocera sanguinea,423758,176389,1
Acrocercops brongniardella,702476,61353,354
,,61353,0
Acroclita subsequana,527056,47155,35
,,47199,0
Acrodactyla degener,804929,47199,1
,,47199,0
,,47199,0
,,172533,0
Acrolepia autumnitella,522753,173889,32
Acrolepiopsis assectella,317685,173889,127
,,173889,0
,,173889,0
Acrolepiopsis vesperella,1092815,173889,11
,,47951,0
,,47951,0
,,47951,0
,,47199,0
,,47199,0
,,47199,0
,,47199,0
Acrometopa italica,933556,48124,67
Acronicta aceris,135282,48670,2546
Acronicta albovenosa,1096210,48670,135
Acronicta alni,450658,48670,1090
Acronicta auricoma,483482,48670,646
Acronicta chamoenices,1098604,48670,2
Acronicta cuspis,483584,48670,25
Acronicta elsae,1455252,48670,1
Acronicta euphorbiae,332385,48670,357
Acronicta leporina,460218,48670,990
Acronicta megacephala,357477,48670,1402
Acronicta menyanthidis,475702,48670,60
Acronicta psi,325641,48670,1851
Acronicta rumicis,55623,48670,8999
Acronicta strigosa,483481,48670,145
Acronicta tridens,483480,48670,160
,,85693,0
,,85693,0
Acroperus harpae,203472,85693,14
,,47199,0
,,47199,0
,,68020,0
Acroricnus seductor,602358,47199,56
Acroricnus stylator,497633,47199,101
Acrosathe annulata,504051,202796,33
Acrossus depressus,544695,48201,17
Acrossus laticollis,1405822,48201,1
Acrossus luridus,130611,48201,44
Acrossus rufipes,457239,48201,515
Acrosternum heegeri,326882,47742,1095
Acrosternum millierei,469940,47742,369
,,47199,0
Acrotomus succinctus,804936,47199,4
,,47951,0
,,47951,0
,,47951,0
,,47951,0
,,47951,0
,,47951,0
,,47951,0
,,47951,0
,,47951,0
Acrotona sylvicola,953750,47951,1
,,47951,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,245269,0
Acrotylus braudi,892016,47649,7
Acrotylus fischeri,509101,47649,161
Acrotylus insubricus,465767,47649,822
Acrotylus patruelis,425915,47649,620
Acrulia inflata,777142,47951,11
,,48670,0
Actebia praecox,483399,48670,13
Actenodia billbergi,524581,59510,29
Actia crassicornis,321708,51953,1
Actia infantula,321710,51953,2
Actia lamia,321712,51953,4
,,51953,0
,,51953,0
,,51953,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
,,48304,0
Actina chalybea,709153,70127,210
Actinonotus pulcher,887549,53505,13
Actinoptera discoidea,1088536,47990,1
Actinoptera filaginis,1168135,47990,1
Actinoptera mamulae,1349624,47990,1
Actinoptera meigeni,627172,47990,1
,,48304,0
Actinotia polyodon,465417,48670,525
Actinotia radiosa,564079,48670,42
Actocharis readingii,560333,47951,1
Aculepeira armida,324901,47535,293
Aculepeira carbonaria,467224,47535,48
Aculepeira ceropegia,121775,47535,2631
,,55584,0
,,55584,0
Aculops macrotrichus,886304,55584,39
Aculops pedicularis,1455474,55584,1
,,55584,0
,,55584,0
,,55584,0
,,55584,0
Aculus convolvuli,1038561,55584,1
,,55584,0
Aculus craspedobius,957697,55584,30
,,55584,0
Aculus gemmarum,1271631,55584,1
,,55584,0
Aculus laevis,469409,55584,4
,,55584,0
,,55584,0
,,55584,0
,,55584,0
Aculus schmardae,967207,55584,2
Aculus tetanothrix,469076,55584,1299
Aculus teucrii,886549,55584,9
,,55584,0
Aculus xylostei,993606,55584,10
,,49567,0
Acupalpus dubius,475551,49567,4
Acupalpus elegans,715582,49567,3
Acupalpus exiguus,488961,49567,4
Acupalpus flavicollis,480693,49567,12
,,49567,0
,,49567,0
Acupalpus maculatus,480691,49567,3
Acupalpus meridianus,130412,49567,49
,,49567,0
Acupalpus parvulus,547626,49567,1
,,52381,0
,,49996,0
Acylophorus glaberrimus,1047122,47951,1
