name,taxon_id,ancestry,family
Acerentulus cassagnaui,1187155,48460/1/47120/372739/243773/83242/1397966/371092/375340,371092
Acerentulus charrieri,1187164,48460/1/47120/372739/243773/83242/1397966/371092/375340,371092
Acerentulus correzeanus,1187165,48460/1/47120/372739/243773/83242/1397966/371092/375340,371092
Acerentulus cunhai,917166,48460/1/47120/372739/243773/83242/1397966/371092/375340,371092
Acerentulus gigas,1187166,48460/1/47120/372739/243773/83242/1397966/371092/375340,371092
Acerentulus noeli,1187167,48460/1/47120/372739/243773/83242/1397966/371092/375340,371092
Acerentulus proximus,1187168,48460/1/47120/372739/243773/83242/1397966/371092/375340,371092
Acerentulus pyreneicus,1187169,48460/1/47120/372739/243773/83242/1397966/371092/375340,371092
Aceria aceriscampestris,320922,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria acerismonspessulani,556903,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria achilleae,1491763,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria acris,1187170,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria alpestris,1080011,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria anceps,1406257,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria anthocoptes,1488048,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria anthonoma,1307178,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria artemisiae,901488,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria campestricola,487129,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria cardaminis,1187171,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria carinifex,1076494,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria caulleryi,1187172,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria caulobia,1169282,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria centaureae,782218,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria cerastii,1477759,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria chondrillae,363433,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria ciansensis,1187173,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria convolvuli,1110843,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria cuscutae,1187182,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria daigluni,1187181,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria destructor,1412525,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria dispar,750903,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria drabae,340802,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria echii,740871,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria enantha,1488497,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria erinea,358373,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria erodii,1187180,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria euaspis,1372367,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria exigua,547283,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria ficus,646569,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria fraxini,542186,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria fraxinivora,857059,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria galiobia,775608,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria genistae,384897,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria geranii,531666,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria granati,646572,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria gymnoprocta,1270933,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria heteronyx,961339,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria hippophaena,1119205,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria hulli,1187179,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria ilicis,556479,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria italici,1187178,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria jaapi,1263650,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria jourdani,1187177,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria kiefferi,1139345,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria labiatiflorae,547541,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria laticincta,547282,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria leioprocta,1187176,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria linosyrina,1435456,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria lycopersici,946398,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria macrochela,487527,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria macrocheluserinea,504462,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria macrorhyncha,565885,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria massalongoi,1105148,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria megacera,928688,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria minuta,1187175,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria monspessulani,1137543,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria multistriata,1120718,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria nalepai,469423,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
Aceria nervisequa,842441,48460/1/47120/245097/47119/52788/129763/81508/635987/373225/55584/560190/1109591/84335,55584
