name,taxon_id,ancestry
Cerocephalidae,1426982,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Cerococcidae,372972,48460/1/47120/372739/47158/184884/47744/334037/60922
Cerophytidae,47887,48460/1/47120/372739/47158/184884/47208/71130/372854/47207
Cerylonidae,174498,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Chaetodactylidae,429826,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1255718/1254682
Chalcididae,121516,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Chamaemyiidae,203272,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/774561
Chaoboridae,129901,48460/1/47120/372739/47158/184884/47822/154259/153429/513826
Cheiracanthiidae,808367,48460/1/47120/245097/47119/47118/120474/342614/367165
Cheiridiidae,172467,48460/1/47120/245097/47119/172373/372876/928847/928851/172465
Cheliferidae,245019,48460/1/47120/245097/47119/172373/372876/928847/928851/172435
Chernetidae,172612,48460/1/47120/245097/47119/172373/372876/928847/928851/172435
Chirocephalidae,85684,48460/1/47120/85493/60395/495841/119123/1068362
Chirodiscidae,245072,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466263
Chironomidae,53275,48460/1/47120/372739/47158/184884/47822/154259/153429/509764
Chirothripidae,1377520,48460/1/47120/372739/47158/184884/83201/372872/1377518
Chloroperlidae,85690,48460/1/47120/372739/47158/184884/47504/372838/570128/123941
Chloropidae,127593,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/361261
Chordeumatidae,336973,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986477/986478
Choreutidae,67432,48460/1/47120/372739/47158/184884/47157/67431
Chrysididae,126149,48460/1/47120/372739/47158/184884/47201/124417/326777/203212
Chrysolampidae,1349202,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Chrysomelidae,51146,48460/1/47120/372739/47158/184884/47208/71130/372852/176269
Chrysopidae,52425,48460/1/47120/372739/47158/184884/48763/483236
Chthoniidae,172429,48460/1/47120/245097/47119/172373/372858/172427
Chydoridae,85693,48460/1/47120/85493/60395/1134694/68305/774762
Chyromyidae,329822,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/774570
Cicadellidae,53237,48460/1/47120/372739/47158/184884/47744/125816/372849/49025
Cicadidae,50186,48460/1/47120/372739/47158/184884/47744/125816/372849/50190
Ciidae,82343,48460/1/47120/372739/47158/184884/47208/71130/372852/47593
Cimbicidae,53844,48460/1/47120/372739/47158/184884/47201/84643/49452
Cimeliidae,319909,48460/1/47120/372739/47158/184884/47157/84429
Cimicidae,53667,48460/1/47120/372739/47158/184884/47744/61267/372850/53668
Cirolanidae,55803,48460/1/47120/85493/473790/47187/774775/144114/48147/343773/343788
Cixiidae,84074,48460/1/47120/372739/47158/184884/47744/125816/372860/1473811
Cladonychiidae,172615,48460/1/47120/245097/47119/47367/202277/526083/526084
Clambidae,174593,48460/1/47120/372739/47158/184884/47208/71130/372854/47596
Cleonymidae,1426984,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Cleridae,55051,48460/1/47120/372739/47158/184884/47208/71130/372852/55050
Clubionidae,121773,48460/1/47120/245097/47119/47118/120474/342614
Clusiidae,157184,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Cocceupodidae,570831,48460/1/47120/245097/47119/52788/129763/83740/55597/635809/520455
Coccidae,49456,48460/1/47120/372739/47158/184884/47744/334037/60922
Coccinellidae,48486,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Coelopidae,194033,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/70139
Coenagrionidae,47925,48460/1/47120/372739/47158/184884/47792/47928/426081
Coleophoridae,85704,48460/1/47120/372739/47158/184884/47157/55518
Colletidae,127740,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955
Coniopterygidae,245154,48460/1/47120/372739/47158/184884/48763/483236
Conopidae,61893,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/70139
Cordulegastridae,57448,48460/1/47120/372739/47158/184884/47792/47927/1317177
Corduliidae,61430,48460/1/47120/372739/47158/184884/47792/47927/1317176
Coreidae,51777,48460/1/47120/372739/47158/184884/47744/61267/372868/51776
Corinnidae,47418,48460/1/47120/245097/47119/47118/120474/342614/367165
Corixidae,84735,48460/1/47120/372739/47158/184884/47744/61267/116696/84736
Corylophidae,174370,48460/1/47120/372739/47158/184884/47208/71130/372852/471714
Cosmochthoniidae,245079,48460/1/47120/245097/47119/52788/129763/81508/332183/888610/245080
Cosmopterigidae,82340,48460/1/47120/372739/47158/184884/47157/55518
Cossidae,122745,48460/1/47120/372739/47158/184884/47157/122746
Crabronidae,51955,48460/1/47120/372739/47158/184884/47201/124417/326777/47222
Crambidae,52002,48460/1/47120/372739/47158/184884/47157/49682
Crangonyctidae,85711,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/885340/885341/885338
Craspedosomatidae,50426,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986465/986474
Crinopterygidae,752431,48460/1/47120/372739/47158/184884/47157/51269
Cryptophagidae,174139,48460/1/47120/372739/47158/184884/47208/71130/372852/48485
Cryptopidae,154635,48460/1/47120/144128/49556/53763
Ctenizidae,57327,48460/1/47120/245097/47119/47118/84719/1467321
Ctenophthalmidae,245151,48460/1/47120/372739/47158/184884/83204
Cucujidae,85716,48460/1/47120/372739/47158/184884/47208/71130/372852/48485
Culicidae,52134,48460/1/47120/372739/47158/184884/47822/154259/153429/513826
Curculionidae,48736,48460/1/47120/372739/47158/184884/47208/71130/372852/60473
Curtonotidae,174137,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/555548
Cybaeidae,52950,48460/1/47120/245097/47119/47118/120474/342614/367162
Cybocephalidae,373331,48460/1/47120/372739/47158/184884/47208/71130/372852/48485
Cyclopidae,85718,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/1066595
Cydnidae,57843,48460/1/47120/372739/47158/184884/47744/61267/372868/47743
Cylindrotomidae,60419,48460/1/47120/372739/47158/184884/47822/154259/179916/51226
Cylisticidae,130171,48460/1/47120/85493/473790/47187/774775/144114/48147/84718/343783/343798
Cymidae,373002,48460/1/47120/372739/47158/184884/47744/61267/372868/466233
Cynipidae,55594,48460/1/47120/372739/47158/184884/47201/124417/981280/55593
Cyphoderidae,245389,48460/1/47120/372739/243773/49470/83224/132309
Cyprididae,85722,48460/1/47120/85493/473792/68764/774780/85538/1066627/996554
Cypselosomatidae,558005,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/603713
Cyrnosomatidae,1205855,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986465/986469
Cytherideidae,330864,48460/1/47120/85493/473792/68764/774780/85538/1001351/171230
Cyzicidae,68306,48460/1/47120/85493/60395/1134694/68305/774759
Dactylopiidae,202092,48460/1/47120/372739/47158/184884/47744/334037/60922
