name,taxon_id,family,count
Lipeurus caponis,330643,173070,9
Lipoptena cervi,130393,48818,907
Liposcelis meridionalis,1337953,245144,2
Lithobius forficatus,122234,122236,1386
Livia junci,207530,460832,88
Lobonyx aeneus,470093,363624,266
Lonchoptera bifurcata,203415,203416,278
Lophoproctus lucidus,1351725,245112,7
Loricula elegantula,451684,174329,40
Lotophila atra,922447,177496,24
Loxosceles rufescens,151792,48140,873
Lucanus cervus,61749,49083,13138
Lucilia sericata,128824,61860,4966
Lyctocoris dimidiatus,887504,464024,6
Lygistopterus sanguineus,501467,49360,1333
Lymantria dispar,47802,121850,31447
Lymexylon navale,500403,246114,33
Lynceus brachyurus,122267,122268,2
Lyonetia clerkella,207527,177236,568
Machilinus rupestris,903515,245396,20
Macrocera phalerata,712462,125922,15
Macrocheles muscaedomesticae,263399,172592,1
Macroglossum stellatarum,56293,47213,13704
Macromia splendens,105048,67722,27
Macronychus quadrituberculatus,504160,85753,10
Macrothylacia rubi,127506,56584,10686
Malachius bipustulatus,326491,82067,2500
Mantis religiosa,53905,48111,29688
Mantispa styriaca,338651,52955,565
Marchalina hellenica,447672,746711,28
Megalodontes cephalotes,337733,337737,57
Megamerina dolium,511381,511382,24
Megaselia rufipes,392352,55351,2
Megastigmus pistaciae,1083558,857366,10
Melanophora roralis,342608,48286,539
Melanthrips fuscus,917202,981068,1
Melasis buprestoides,709180,47886,28
Meloe proscarabaeus,82109,59510,1849
Menacanthus stramineus,236895,172772,3
Meria tripunctata,465445,605157,22
Mesembrina meridiana,333502,70144,2644
Mesopolobus tibialis,558690,125448,21
Mesopsocus fuscifrons,1308091,359475,23
Mesovelia furcata,949036,174616,26
Metatropis rufescens,451781,57804,334
Metellina merianae,437909,47551,912
Metoecus paradoxus,131825,133086,123
Metylophorus nebulosus,210299,120991,163
Metzneria lappella,118556,55519,654
Microcara testacea,549960,47595,101
Microdipoena jobi,789022,172221,14
Micrommata virescens,121766,47867,2377
Micromus variegatus,364111,118993,622
Micronecta scholtzi,123942,201252,14
Micropeza corrigiolata,486982,132187,255
Micropterix calthella,344870,173650,542
