name,taxon_id,ancestry
Anaspididae,85580,48460/1/47120/85493/473790/47187/774775/144123/85500
Anaxyelidae,778511,48460/1/47120/372739/47158/184884/47201/84643/198946
Anchialocarididae,1066987,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/342912
Anchimolgidae,884220,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/997010
Anchistioididae,854265,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/342912/47843
Ancinidae,245447,48460/1/47120/85493/473790/47187/774775/144114/48147/343784/343786
Ancistropsyllidae,981144,48460/1/47120/372739/47158/184884/83204/981145
Ancorabolidae,332174,48460/1/47120/85493/473790/1091452/121643/774777/774779/85521
Anderemaeidae,246197,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/475637
Andesembiidae,980893,48460/1/47120/372739/47158/184884/56834/1041771
Andesianidae,874770,48460/1/47120/372739/47158/184884/47157/874769
Andrenidae,57668,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955
Andrognathidae,81978,48460/1/47120/144128/47735/551278/372763/888637/81977
Anelasmatidae,371341,48460/1/47120/85493/473790/1091452/144117/210289/464038/246155/464033
Angarosphecidae,981255,48460/1/47120/372739/47158/184884/47201/124417/326777/47222
Angelidae,748258,48460/1/47120/372739/47158/184884/48112/1097011/1097013/1097034
Anisacanthidae,180408,48460/1/47120/372739/47158/184884/47198/569714/569717/180409
Anisembiidae,56833,48460/1/47120/372739/47158/184884/56834/1041771
Anisitsielidae,372947,48460/1/47120/245097/47119/52788/129763/83740/55597
Anisitsiellidae,83741,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495540
Anisogammaridae,171654,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/885340/885377/708355
Anisolabididae,245158,48460/1/47120/372739/47158/184884/47793/713334/713335/949883/713340
Anisopodidae,245529,48460/1/47120/372739/47158/184884/47822/154259/489328
Anobiidae,367371,48460/1/47120/372739/47158/184884/47208/71130/372844/47496
Anomalocarididae,333780,48460/1/47120/333781/333782
Anomalopsychidae,981172,48460/1/47120/372739/47158/184884/62164/372875/121942
Anomocaridae,921243,48460/1/47120/205907/317829
Anomoclausiidae,996657,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/997010
Anomosetidae,874750,48460/1/47120/372739/47158/184884/47157/53784
Anoplodactylidae,372948,48460/1/47120/245097/47825/245099/372859
Anoplodesmidae,997978,48460/1/47120/144128/47735/551278/372763/997267/372784/47734
Anostostomatidae,85210,48460/1/47120/372739/47158/184884/47651/132694/488701/53896
Antarcturidae,813932,48460/1/47120/85493/473790/47187/774775/144114/48147/343778
Antelientomidae,1414694,48460/1/47120/372739/243773/83242
Antennophoridae,451676,48460/1/47120/245097/47119/52788/129762/52790/1270122/1123045/1270546
Antheacheridae,996591,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/997010
Anthelidae,125018,48460/1/47120/372739/47158/184884/47157/47214
Antheluridae,784432,48460/1/47120/85493/473790/47187/774775/144114/48147/343773/343790
Anthessiidae,996656,48460/1/47120/85493/473790/1091452/121643/774777/774779/85514/997010
Anthicidae,85586,48460/1/47120/372739/47158/184884/47208/71130/372852/47593
Anthocoridae,174592,48460/1/47120/372739/47158/184884/47744/61267/372850/53668
Anthogonidae,336968,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986465/986471
Anthomyiidae,49996,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/342767/54992
Anthomyzidae,329767,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Anthophoridae,371086,48460/1/47120/372739/47158/184884/47201/124417/326777/47222
Anthracoscorpionidae,1015120,48460/1/47120/245097/47119/48894/1015132/1015133
Anthribidae,172909,48460/1/47120/372739/47158/184884/47208/71130/372852/60473
Anthroleucosomatidae,171527,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986465/986471
Anthuridae,85587,48460/1/47120/85493/473790/47187/774775/144114/48147/343773/343790
Antichtopauropodidae,1029545,48460/1/47120/144128/83243/153129
Antipodoeciidae,981173,48460/1/47120/372739/47158/184884/62164/372875/121942
Antrodiaetidae,48359,48460/1/47120/245097/47119/47118/84719/367198
Anuropidae,813896,48460/1/47120/85493/473790/47187/774775/144114/48147/343773/343788
Anyphaenidae,83722,48460/1/47120/245097/47119/47118/120474/342614
Anystidae,245050,48460/1/47120/245097/47119/52788/129763/83740/55597/635811/625766
Aoridae,209042,48460/1/47120/85493/473790/47187/774775/144114/47628/869842/983350/983352/983364
Apachyidae,713330,48460/1/47120/372739/47158/184884/47793/713334/713335/949884/713331
Apataniidae,173235,48460/1/47120/372739/47158/184884/62164/372875/81972
Apatelodidae,48264,48460/1/47120/372739/47158/184884/47157/47214
Apatelodidae,783235,48460/1/47120/372739/47158/184884/47157/47214
Aphalaridae,446767,48460/1/47120/372739/47158/184884/47744/334037/48195
Aphanodactylidae,1066945,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/121639/706185/706188/48814
Aphelacaridae,245053,48460/1/47120/245097/47119/52788/129763/81508/332183/1227489/245054
Aphelidesmidae,171228,48460/1/47120/144128/47735/551278/372763/997267/372784/47734/841264/841268
Aphelinidae,201669,48460/1/47120/372739/47158/184884/47201/124417/981280/69750
Aphelocheiridae,360948,48460/1/47120/372739/47158/184884/47744/61267/116696/342776
Apheviderulicidae,982539,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495536
Aphididae,52381,48460/1/47120/372739/47158/184884/47744/334037/901813/52380
Aphilodontidae,982586,48460/1/47120/144128/49556/67662
Aphodiidae,122136,48460/1/47120/372739/47158/184884/47208/71130/702480/48202
Aphrophoridae,56195,48460/1/47120/372739/47158/184884/47744/125816/372849/56194
Aphylidae,464661,48460/1/47120/372739/47158/184884/47744/61267/372868/47743
Apidae,47221,48460/1/47120/372739/47158/184884/47201/124417/326777/47222/630955
Apioceridae,208225,48460/1/47120/372739/47158/184884/47822/48091/372865/354603
Apionacaridae,982232,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466256
Apionidae,173231,48460/1/47120/372739/47158/184884/47208/71130/372852/60473
Aprosphylosomatidae,982600,48460/1/47120/144128/47735/551278/372763/997267/372724/82535/997351
